cmg,ccu,fai,mgl,mgs,cul,cus,kcu,kmg
0.015632091,0.015632091,0.020675752,0.03507981,0.010969864,0.07279135,0.008182012,0.112403632,0.312711623
0.02488484,0.02488484,0.009714629,0.051124303,0.016053987,0.029765343,0.002966591,0.099665951,0.314018699
0.009116874,0.009116874,0.004684524,0.029892573,0.009110377,0.046198625,0.004671541,0.101118614,0.304770596
0.042771111,0.042771111,0.01612993,0.046595458,0.014502829,0.018076869,0.001738814,0.09619002,0.311249853
0.000473883,0.000473883,0.024940338,0.001142253,0.000340625,0.094899557,0.010992047,0.115828221,0.298204901
0.008182069,0.008182069,0.015327228,0.017847787,0.005343528,0.050289281,0.005059889,0.100615646,0.299394444
0.040652724,0.040652724,0.009680048,0.10431484,0.037853311,0.059006841,0.007511002,0.127290363,0.36287561
0.029845388,0.029845388,0.00998537,0.082618479,0.02879151,0.069907151,0.008788733,0.125720082,0.348487537
0.005121409,0.005121409,0.036945789,0.00609316,0.001793451,0.04640411,0.004553874,0.098135145,0.294338354
0.008779209,0.008779209,0.041601404,0.010598893,0.003141003,0.053298344,0.005358981,0.100546849,0.296351977
0.033146462,0.033146462,0.016794926,0.042199281,0.013053498,0.023343725,0.002259697,0.096801051,0.309329862
0.024047443,0.024047443,0.010700242,0.057293262,0.018325632,0.045146316,0.004771859,0.105697635,0.319856662
0.041472634,0.041472634,0.014680502,0.064333936,0.020652787,0.027716999,0.002808131,0.101314411,0.321024777
0.008525498,0.008525498,0.033607907,0.017281643,0.005325374,0.094590416,0.011320516,0.119679313,0.308152036
0.002595984,0.002595984,0.044832365,0.003498681,0.001029305,0.066673765,0.006925408,0.103870056,0.294197879
0.034958789,0.034958789,0.008023565,0.064030962,0.020488892,0.020132801,0.001996517,0.099167376,0.319984135
0.058060088,0.058060088,0.000247636,0.127590301,0.045687483,0.001023914,0.0001095,0.106942528,0.358079595
0.044677187,0.044677187,0.014523728,0.106803712,0.040085167,0.073077627,0.010195776,0.139519794,0.375316231
0.025284389,0.025284389,0.017705393,0.049600879,0.015674305,0.049321044,0.00521062,0.105646993,0.316008613
0.021226797,0.021226797,0.030366501,0.05028605,0.01782962,0.122466567,0.019599525,0.160039802,0.354563938
0.014335267,0.014335267,0.014435853,0.039605113,0.012644207,0.082837058,0.009858439,0.119010011,0.319256932
0.05102786,0.05102786,0.009500006,0.053504931,0.016819613,0.010118019,0.000965278,0.095401912,0.314356327
0.011920904,0.011920904,0.021383618,0.032563497,0.010751906,0.11448994,0.01611097,0.140719524,0.330182779
0.043101129,0.043101129,0.017833892,0.044747834,0.013890853,0.018737747,0.001800762,0.096103448,0.310425152
0.019074318,0.019074318,0.030090166,0.041681992,0.013743883,0.100977438,0.013376372,0.132468918,0.329731927
0.03778848,0.03778848,0.000994272,0.109065732,0.037788215,0.009463829,0.000994241,0.105056901,0.346471932
0.005594378,0.005594378,0.032288663,0.009642031,0.002868101,0.069336791,0.007335074,0.105789063,0.297458132
0.027142354,0.027142354,0.028562374,0.066013355,0.025135135,0.128427301,0.023405555,0.182247507,0.380758334
0.005104173,0.005104173,0.007516399,0.01674358,0.005036479,0.067446614,0.007167848,0.1062744,0.300800606
0.016270891,0.016270891,0.030709109,0.032561902,0.010274408,0.086257808,0.010262444,0.118974083,0.315534641
0.025538448,0.025538448,0.027667317,0.038656842,0.011973223,0.049466834,0.005125278,0.103610391,0.309731015
0.037610879,0.037610879,0.020185046,0.075487708,0.025505107,0.060917302,0.007166654,0.11764563,0.337870989
0.021616698,0.021616698,0.026009387,0.056314176,0.021051196,0.133162991,0.024262992,0.182205218,0.373817002
0.027225856,0.027225856,0.009504983,0.076626527,0.026215435,0.067995859,0.008308634,0.122193238,0.342119581
0.014905126,0.014905126,0.031434102,0.03287053,0.010679032,0.105531585,0.014003773,0.132697457,0.324881654
